1	19216800000203	1541682270000	206,305,405,505,605,705,805,905,1005,1105,1205	24726.00000,29609.66667,28736.00000,30600.66667,31117.33333,32785.33333,34736.00000,33405.33333,36820.00000,30167.33333,27494.00000	1836.00000,2453.92343,960.00000,3405.38205,3302.84991,4252.02864,2992.00000,3011.40469,3443.20316,1987.55081,0.00000	132.81250,226.94561,225.10343,228.85828,269.41227,211.34421,200.85470,256.40268,194.60484,148.81305,-1	0.00000,66.59558,51.49232,75.86709,49.73357,24.09955,21.36752,28.36093,44.00087,51.57162,37.98353
3	19216800000203	1541682276000	1102,1103	5474.50000,6457.33333	150.50000,792.77333	16.00000,33.35737	0.00000,13.39627
5	19216800000203	1541682288000	307,407,507,607,707,807,907,1007,1107	29091.33333,28614.66667,29817.66667,28521.50000,29470.66667,31253.00000,28428.00000,28183.33333,29224.00000	2668.92754,1108.73542,1759.40792,633.50000,2701.94613,2021.00000,609.76061,376.46189,863.96914	234.19906,196.78352,261.84707,298.18011,213.39115,183.91608,259.43110,192.88646,142.89509	37.11877,58.20923,56.66933,30.06417,41.45051,16.08392,66.92674,28.47122,72.63800
7	19216800000203	1541682312000	1006,906,805,705,606,506	27818.00000,30859.33333,29712.50000,34821.33333,36772.00000,35690.00000	472.00000,2463.12462,394.50000,4158.28757,2596.00000,1514.00000	174.60317,197.99467,233.82834,253.00703,272.01397,299.34644	0.00000,21.37754,7.55097,21.73651,11.45059,38.78306
9	19216800000203	1541682318000	1104,1004	14848.00000,14934.66667	288.00000,515.78118	212.59843,174.10219	0.00000,27.30877
14	19216800000203	1541682324000	606,506	33735.00000,37734.66667	2759.00000,1359.51568	193.54839,244.46233	0.00000,53.96128
20	19216800000203	1541682360000	205,204,304,305,304,404,504	11536.00000,12276.25000,13905.50000,13615.00000,13642.00000,13739.20000,13322.00000	56.00000,1068.00851,199.50000,91.00000,118.00000,608.31255,634.28385	200.00000,95.55280,90.03244,136.72991,145.37652,124.31644,126.70510	0.00000,66.31358,28.38861,18.30885,9.66224,16.98685,6.65245
