1	19216800000202	1541682276000	906,806,706,606,506,406,306,206	41017.50000,45394.00000,40428.66667,42304.00000,42582.00000,39396.00000,43644.00000,35939.71429	3622.50000,754.00000,4222.02995,4680.86488,4794.00000,1608.00000,2640.00000,6452.17309	243.69748,323.97640,293.20826,210.78014,281.62171,348.38566,312.92466,-1	0.00000,80.27892,89.25437,24.53691,37.52722,29.23672,64.69771,79.55567
3	19216800000202	1541682288000	206,306	21335.66667,21609.00000	1093.04234,903.00000	201.97740,156.57510	35.31073,80.71303
5	19216800000202	1541682300000	1107,1007,907,808,708,608,508,408,309,209,109	25747.25000,26713.00000,27637.66667,28198.66667,27542.66667,27264.50000,27127.00000,26487.66667,26085.00000,25280.00000,24310.00000	1389.49836,660.36959,769.74902,537.54090,544.74785,0.50000,138.00000,438.93077,165.00000,970.00000,0.00000	152.07535,189.25104,213.62420,188.86546,269.12113,386.54259,321.67832,272.09000,384.34628,335.47702,-1	123.88324,85.20822,82.96097,43.62865,106.64962,22.90623,41.95804,15.86687,97.79657,146.66583,84.88968
7	19216800000202	1541682306000	406,506,606,706,806,906,1006,1106,1206	35846.00000,36657.00000,33246.00000,37437.33333,33875.00000,33011.33333,33794.00000,27953.80000,17180.00000	3022.28250,3393.00000,18.00000,3697.15759,2981.00000,3384.85345,3115.48263,3194.89896,2520.00000	205.19711,278.25720,278.02842,281.88058,266.54846,201.53285,168.19132,134.94013,-1	64.24223,12.52294,12.29416,19.19280,11.22931,77.66857,58.36643,74.39417,54.64964
9	19216800000202	1541682318000	507,607,707,807,906,1006,1106,1206	34049.00000,35320.66667,33373.00000,33148.50000,30978.00000,33141.75000,31147.00000,26256.40000	251.00000,2341.08256,163.00000,61.50000,1493.15840,2095.23249,1865.00000,1512.80000	288.13559,194.31072,353.81081,407.80142,253.13620,180.22940,232.64699,-1	0.00000,91.93886,128.45870,74.46809,56.83787,35.45443,11.95733,118.87468
13	19216800000202	1541682342000	407,507,506,606,706,806,906,905,1005,1105,1205	25850.00000,24867.50000,25173.50000,24356.00000,22712.33333,22084.66667,20774.50000,19432.75000,19685.66667,17254.60000,9902.87500	1210.00000,227.50000,78.50000,896.00000,532.16810,170.72460,1080.50000,607.72995,15.17308,1549.47573,3246.97372	330.57851,296.49493,238.34853,217.07194,201.62919,234.22187,222.02381,138.48521,157.84870,107.73194,-1	0.00000,34.08358,24.06282,2.78622,26.21522,10.66940,13.69048,46.28351,42.28422,53.81719,37.39539
21	19216800000202	1541682372000	808,708,709,608,508,409,309,209	34027.00000,28281.00000,24984.00000,23802.00000,23464.50000,23892.00000,24312.00000,24252.00000	3409.00000,2337.00000,960.00000,222.00000,115.50000,543.00000,86.98276,0.00000	392.00000,363.83217,313.22224,287.75118,272.23124,308.16470,317.55520,-1	0.00000,28.16783,22.44210,3.02896,12.49098,48.42444,33.56431,123.27592
