1	1	19216800000202	1542017426000	603,703	19789.33333,20472.50000	948.36046,47.50000	0.41248,0.44084	0.03407,0.00102	196.39726,225.20602	6.85477,35.66354	0.00000,352.87498	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	90.33333,95.00000	5.90668,0.00000	219.33333,215.50000	4.02768,0.50000		
2	100	19216800000202	1542017426500	700,800,900,901	2057.00000,2198.00000,2540.00000,2190.00000	293.00000,434.00000,92.00000,258.00000	1.03191,1.09574,1.06633,0.92711	0.03191,0.09574,0.12516,0.01407	251.85185,218.28261,178.97086,167.60009	0.00000,33.56924,5.74251,5.62826	352.40536,3.69139,12.09476,0.00000	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	46.00000,49.00000,52.00000,45.00000	4.00000,7.00000,4.00000,3.00000	44.50000,44.50000,49.00000,48.50000	2.50000,2.50000,2.00000,2.50000		
1	1	19216800000205	1542017427000	1005,1105	23324.00000,23259.50000	969.25719,60.50000	0.50534,0.52498	0.05344,0.00612	139.59414,218.03700	40.65479,20.95671	357.99045,4.18492	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	108.50000,110.50000	7.92149,0.50000	215.50000,210.50000	7.69740,1.50000		
2	100	19216800000205	1542017427000	1002,1102,1202	2472.00000,2688.66667,2730.00000	72.00000,109.25607,78.00000	1.03208,1.14175,1.02903	0.07208,0.10315,0.00943	106.38298,163.68484,176.92696	0.00000,85.59019,107.74457	7.43141,7.12502,8.74616	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	50.50000,55.33333,53.00000	2.50000,2.62467,1.00000	49.00000,48.66667,51.50000	1.00000,2.49444,0.50000		
1	1	19216800000202	1542017427000	903,1003	20400.00000,20959.50000	144.27058,355.50000	0.49679,0.51110	0.00985,0.00615	155.22876,163.04348	11.43791,3.62319	1.19349,2.48955	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	100.66667,103.50000	1.24722,1.50000	202.66667,202.50000	1.69967,0.50000		
1	1	19216800000205	1542017428000	1205	19110.00000	0.00000	0.50256	0.00000	-1	30.61862	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98.00000	0.00000	195.00000	0.00000		
2	100	19216800000205	1542017428000	1202	2162.00000	0.00000	0.97872	0.00000	-1	49.96959	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.00000	0.00000	47.00000	0.00000		
2	100	19216800000202	1542017427500	1101,1201	1860.00000,1686.00000	456.78295,33.02524	1.01965,1.11569	0.04612,0.10962	167.49134,72.71868	18.55517,54.28275	358.69805,40.91438	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	43.33333,43.33333	6.18241,2.49444	42.33333,39.00000	4.18994,1.63299		
1	1	19216800000202	1542017428000	1103,1204	17794.00000,14532.00000	2306.58232,0.00000	0.58471,0.48555	0.07012,0.00000	39.06250,26.04167	39.06250,36.82848	26.56505,-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102.00000,84.00000	12.72792,0.00000	174.33333,173.00000	0.94281,0.00000		
2	100	19216800000202	1542017428500	1202	1295.00000	0.00000	0.94595	0.00000	-1	0.00000	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.00000	0.00000	37.00000	0.00000		
1	1	19216800000200	1542017430500	1103	63374.66667	1622.81183	0.50757	0.00142	395.67786	0.15547	174.49452	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	179.33333	2.05480	353.33333	4.98888		
2	100	19216800000200	1542017431000	1101,1100,1000	6114.00000,7492.00000,8916.00000	354.00000,1849.23191,1172.00000	1.10101,1.08139,1.03608	0.01010,0.00766,0.03608	216.41791,233.67031,329.93140	0.00000,106.67823,42.16162	188.36589,186.17018,185.19443	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	82.00000,89.33333,96.00000	2.00000,10.49868,8.00000	74.50000,82.66667,92.50000	2.50000,10.20893,4.50000		
1	1	19216800000200	1542017431500	1003,903	70487.50000,68883.66667	856.50000,2062.72382	0.46222,0.44632	0.00207,0.02069	244.31818,251.97708	0.00000,38.71175	178.63607,179.11860	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	180.50000,175.33333	1.50000,6.64998	390.50000,393.00000	1.50000,3.74166		
2	100	19216800000200	1542017432000	900,800,700	6622.00000,5325.33333,4896.50000	154.00000,808.46411,176.50000	1.11688,1.21773,1.45867	0.02597,0.10849,0.10274	439.02439,332.79631,406.05590	0.00000,93.47685,58.22981	180.00000,185.24714,176.49647	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	86.00000,80.00000,84.50000	2.00000,3.26599,4.50000	77.00000,66.33333,58.00000	0.00000,7.71722,1.00000		
1	1	19216800000204	1542017432500	1003	18255.66667	445.25374	0.44054	0.01994	167.59124	7.59124	174.28941	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	89.66667	2.86744	203.66667	3.39935		
2	100	19216800000204	1542017432500	1000	1654.00000	94.75583	1.00242	0.05233	220.08759	28.08759	180.97102	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	40.66667	0.94281	40.66667	2.05480		
