OBJECT	19216800000603	1540899945528	1540899945528	0	37	2	7145	97	93.7	0.965	1.081	99	91.7	0	0	1.4013e-045	1.00974e-028	3.85277e-033	7.77367e+033	6.01542e+031	1.54703e-042	1.47977e-042	99	105	8164.2	1.061	1.091	105	99	0	0	6.01524e+031	2.56202e-033	96	88	6635	0.917	1.061	96	88	0	0	2.8287e-038	2.57897e-033	0,0,0,0,0,0,0,0,0,0	1920	1080	0	0	0	0
OBJECT	19216800000602	1540899929295	1540899945173	1	620	2	278	19.1	18.5	0.978	1.082	19.5	18	20.21	3.7	1.4013e-045	1.00974e-028	3.85277e-033	7.77367e+033	6.01542e+031	1.54703e-042	1.47977e-042	22	20	345.6	1.133	1.158	22	20	66	12.5	6.01524e+031	2.56202e-033	15	17	200.3	0.864	1	17	15	0	0	2.8287e-038	2.57897e-033	0,0,0,0,0,0,0,0,0,0	704	576	0	0	0	0
OBJECT	19216800000602	1540899930130	1540899945173	1	621	1	982	20.1	61.7	3.082	3.082	61.7	20.1	49.83	32.6	1.4013e-045	1.00974e-028	3.85277e-033	7.77367e+033	6.01542e+031	1.54703e-042	1.47977e-042	23	75	1295.9	4.176	4.176	75	23	94.4	64.5	6.01524e+031	2.56202e-033	16	42	527.8	2.421	2.421	42	16	0	0	2.8287e-038	2.57897e-033	0,0,0,0,0,0,0,0,0,0	704	576	0	0	0	0
OBJECT	19216800000602	1540899936696	1540899946388	1	626	2	340	18.7	23.1	1.243	1.243	23.1	18.7	28.58	6.8	1.4013e-045	1.00974e-028	3.85277e-033	7.77367e+033	6.01542e+031	1.54703e-042	1.47977e-042	20	25	392.7	1.5	1.5	25	20	65.01	15.5	6.01524e+031	2.56202e-033	16	22	301.6	1.1	1.1	22	16	0	0	2.8287e-038	2.57897e-033	0,0,0,0,0,0,0,0,0,0	704	576	0	0	0	0
OBJECT	19216800000603	1540899941016	1540899947167	1	34	2	3482	67.2	59.7	0.851	1.266	67.7	59.2	137.51	93.7	1.4013e-045	1.00974e-028	3.85277e-033	7.77367e+033	6.01542e+031	1.54703e-042	1.47977e-042	94	96	7087.4	1.021	2.1	96	94	233.86	224.5	6.01524e+031	2.56202e-033	42	20	659.7	0.476	1.012	42	20	0	0	2.8287e-038	2.57897e-033	0,0,0,0,0,0,0,0,0,0	1920	1080	0	0	0	0
OBJECT	19216800000603	1540899945528	1540899947167	1	37	2	7727	98.1	100.1	1.019	1.069	102.4	95.9	39.42	41.4	-1.#QNAN	1.00974e-028	1.54703e-042	0	1.47977e-042	2.01922e+017	5.19321e-042	99	105	8164.2	1.061	1.091	105	99	107.52	112.9	6.01524e+031	2.56202e-033	96	88	6635	0.917	1.061	96	88	0	0	2.8287e-038	2.57897e-033	0,0,0,0,0,0,0,0,0,0	1920	1080	0	0	0	0
OBJECT	19216800000602	1540899943533	1540899946997	1	630	2	2769	43	81.2	1.883	1.883	81.2	43	57.04	41.9	1.4013e-045	1.00974e-028	3.85277e-033	7.77367e+033	6.01542e+031	1.54703e-042	1.47977e-042	48	95	3581.4	1.979	1.979	95	48	124.79	91.1	6.01524e+031	2.56202e-033	40	73	2293.4	1.825	1.825	73	40	0	0	2.8287e-038	2.57897e-033	0,0,0,0,0,0,0,0,0,0	704	576	0	0	0	0
OBJECT	19216800000602	1540899947643	1540899947643	0	632	1	1912	25	96.3	3.917	3.917	96.3	25	0	0	-1.#QNAN	1.00974e-028	1.54703e-042	0	1.47977e-042	2.46475e+017	5.19321e-042	31	105	2556.5	4.182	4.182	105	31	0	0	6.01524e+031	2.56202e-033	22	92	1589.6	3.387	3.387	92	22	0	0	2.8287e-038	2.57897e-033	0,0,0,0,0,0,0,0,0,0	704	576	0	0	0	0
OBJECT	19216800000602	1540899890124	1540899947828	1	604	1	1189	21.6	70.3	3.299	3.299	70.3	21.6	13.16	9.6	1.4013e-045	1.00974e-028	3.85277e-033	7.77367e+033	6.01542e+031	1.54703e-042	1.47977e-042	31	84	1489.1	4.5	4.5	84	31	61.95	49.7	6.01524e+031	2.56202e-033	16	49	785.4	1.581	1.581	49	16	0	0	2.8287e-038	2.57897e-033	0,0,0,0,0,0,0,0,0,0	704	576	0	0	0	0
OBJECT	19216800000603	1540899947816	1540899947816	0	38	2	28676	184	198.3	1.078	1.078	198.3	184	0	0	-1.#QNAN	6.16298e-033	1.54703e-042	0	1.47977e-042	3.23278e+017	5.19321e-042	192	203	30611.7	1.089	1.089	203	192	0	0	6.01524e+031	2.56202e-033	180	196	27708.8	1.057	1.057	196	180	0	0	2.8287e-038	2.57897e-033	0,0,0,0,0,0,0,0,0,0	1920	1080	0	0	0	0
