FRAME	1540899751104	1785	2	19216800000600	802	1524	246	133	78	0	10374	1920	1080
FRAME	1540899751104	1787	1	19216800000600	603	1115	416	53	112	0	5936	1920	1080
FRAME	1540899751104	1790	2	19216800000600	601	993	183	136	52	0	7072	1920	1080
FRAME	1540899751104	1791	2	19216800000600	801	1445	116	109	30	0	3270	1920	1080
FRAME	1540899751104	1793	2	19216800000600	401	696	214	168	70	0	11760	1920	1080
FRAME	1540899751540	1785	2	19216800000600	802	1524	248	133	76	0	10108	1920	1080
FRAME	1540899751540	1787	1	19216800000600	703	1156	398	45	93	0	4185	1920	1080
FRAME	1540899751540	1790	2	19216800000600	501	877	195	143	53	0	7579	1920	1080
FRAME	1540899751540	1791	2	19216800000600	801	1445	116	109	30	0	3270	1920	1080
FRAME	1540899751540	1793	2	19216800000600	302	487	242	195	76	0	14820	1920	1080
FRAME	1540899751848	1785	2	19216800000600	802	1524	244	133	75	0	9975	1920	1080
FRAME	1540899751848	1787	1	19216800000600	703	1156	398	45	93	0	4185	1920	1080
FRAME	1540899751848	1790	2	19216800000600	401	763	209	156	57	0	8892	1920	1080
FRAME	1540899751848	1793	2	19216800000600	202	271	267	215	80	0	17200	1920	1080
FRAME	1540899752175	1785	2	19216800000600	802	1524	241	133	75	0	9975	1920	1080
FRAME	1540899752175	1787	1	19216800000600	703	1196	392	56	128	0	7168	1920	1080
FRAME	1540899752175	1790	2	19216800000600	402	688	218	165	59	0	9735	1920	1080
FRAME	1540899752175	1793	2	19216800000600	102	152	274	210	82	0	17220	1920	1080
FRAME	1540899752826	1785	2	19216800000600	802	1524	242	133	75	0	9975	1920	1080
FRAME	1540899752826	1787	1	19216800000600	703	1219	398	52	120	0	6240	1920	1080
FRAME	1540899752826	1790	2	19216800000600	402	624	226	179	64	0	11456	1920	1080
FRAME	1540899752826	1793	2	19216800000600	102	152	274	210	82	0	17220	1920	1080
FRAME	1540899753162	1785	2	19216800000600	802	1524	244	133	75	0	9975	1920	1080
FRAME	1540899753162	1787	1	19216800000600	703	1227	392	56	116	0	6496	1920	1080
FRAME	1540899753162	1790	2	19216800000600	302	531	237	201	68	0	13668	1920	1080
FRAME	1540899753162	1793	2	19216800000600	102	152	274	210	82	0	17220	1920	1080
